product_id,product_name,brand,category,image_url,ingredient_list_raw,extracted_ingredients,health_category,allergen_flags,nutrition_summary,health_score,region
ns_00001,Sunrise Foods Cereals Mix 2,Sunrise Foods,cereals,https://static.openfoodfacts.org/images/products/1000000000001/front_en.400.jpg,"oats, sugar, malted barley, whole grain, vitamin, vegetable","[""oats"", ""sugar"", ""malted barley"", ""whole grain"", ""vitamin"", ""vegetable""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 220, ""sugar_g"": 12.1, ""sodium_mg"": 574, ""fat_g"": 3.6, ""protein_g"": 10.6}",52,India
ns_00002,Amul Bakery Mix 3,Amul,bakery,https://static.openfoodfacts.org/images/products/1000000000002/front_en.400.jpg,"wheat flour, sugar, vegetable oil, whole grain, protein, milk","[""wheat flour"", ""sugar"", ""vegetable oil"", ""whole grain"", ""protein"", ""milk""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": true, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 356, ""sugar_g"": 21.3, ""sodium_mg"": 457, ""fat_g"": 16.8, ""protein_g"": 7.6}",50,India
ns_00003,Haldiram's Bakery Mix 4,Haldiram's,bakery,https://static.openfoodfacts.org/images/products/1000000000003/front_en.400.jpg,"wheat flour, sugar, vegetable oil, milk, vitamin, preservative","[""wheat flour"", ""sugar"", ""vegetable oil"", ""milk"", ""vitamin"", ""preservative""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 466, ""sugar_g"": 15.8, ""sodium_mg"": 814, ""fat_g"": 4.9, ""protein_g"": 14.3}",30,India
ns_00004,Amul Beverages Mix 5,Amul,beverages,https://static.openfoodfacts.org/images/products/1000000000004/front_en.400.jpg,"water, sugar, citric acid, vegetable, milk, sugar","[""water"", ""sugar"", ""citric acid"", ""vegetable"", ""milk"", ""sugar""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 524, ""sugar_g"": 3.2, ""sodium_mg"": 380, ""fat_g"": 27.9, ""protein_g"": 1.7}",54,India
ns_00005,Haldiram's Dairy Mix 6,Haldiram's,dairy,https://static.openfoodfacts.org/images/products/1000000000005/front_en.400.jpg,"milk, milk solids, stabiliser (E412), milk, preservative, whole grain","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""milk"", ""preservative"", ""whole grain""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 81, ""sugar_g"": 4.2, ""sodium_mg"": 122, ""fat_g"": 7.8, ""protein_g"": 11.9}",59,India
ns_00006,Kohinoor Condiments Mix 7,Kohinoor,condiments,https://static.openfoodfacts.org/images/products/1000000000006/front_en.400.jpg,"chili, salt, vinegar, milk, preservative, lentil","[""chili"", ""salt"", ""vinegar"", ""milk"", ""preservative"", ""lentil""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 548, ""sugar_g"": 23.8, ""sodium_mg"": 828, ""fat_g"": 3.7, ""protein_g"": 6.1}",35,India
ns_00007,Golden Harvest Dairy Mix 8,Golden Harvest,dairy,https://static.openfoodfacts.org/images/products/1000000000007/front_en.400.jpg,"milk, milk solids, stabiliser (E412), olive oil, oats, milk","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""olive oil"", ""oats"", ""milk""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 515, ""sugar_g"": 26.8, ""sodium_mg"": 42, ""fat_g"": 25.0, ""protein_g"": 6.5}",64,India
ns_00008,Organic Valley Frozen Mix 9,Organic Valley,frozen,https://static.openfoodfacts.org/images/products/1000000000008/front_en.400.jpg,"vegetables, vegetable oil, salt, fruit, protein, sodium nitrate","[""vegetables"", ""vegetable oil"", ""salt"", ""fruit"", ""protein"", ""sodium nitrate""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 223, ""sugar_g"": 16.9, ""sodium_mg"": 821, ""fat_g"": 12.3, ""protein_g"": 9.0}",42,India
ns_00009,Amul Condiments Mix 10,Amul,condiments,https://static.openfoodfacts.org/images/products/1000000000009/front_en.400.jpg,"chili, salt, vinegar, milk, lentil, lentil","[""chili"", ""salt"", ""vinegar"", ""milk"", ""lentil"", ""lentil""]",Neutral,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 224, ""sugar_g"": 2.7, ""sodium_mg"": 800, ""fat_g"": 9.3, ""protein_g"": 11.1}",58,India
ns_00010,Parle Condiments Mix 11,Parle,condiments,https://static.openfoodfacts.org/images/products/1000000000010/front_en.400.jpg,"chili, salt, vinegar, milk, sodium benzoate, sorbitol","[""chili"", ""salt"", ""vinegar"", ""milk"", ""sodium benzoate"", ""sorbitol""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 465, ""sugar_g"": 26.4, ""sodium_mg"": 501, ""fat_g"": 31.2, ""protein_g"": 10.4}",25,India
